Name,Category,Description,Price Rub,Photo Url
Борщ,Супы,Традиционный украинский суп с говядиной и свеклой,350,https://example.com/borsh.jpg
Солянка,Супы,Сборная мясная солянка,420,https://example.com/solyanka.jpg
Салат Цезарь,Салаты,Классический салат с курицей и сыром пармезан,450,https://example.com/caesar.jpg
Греческий салат,Салаты,Салат с фетой и оливками,380,
Стейк Рибай,Мясо,Мраморная говядина на гриле,890,https://example.com/ribeye.jpg
Куриное филе на гриле,Мясо,Филе курицы с овощами,550,https://example.com/chicken.jpg
Спагетти Карбонара,Паста,Классическая паста с беконом и сливочным соусом,480,https://example.com/carbonara.jpg
Пицца Маргарита,Пицца,Томатный соус моцарелла и базилик,520,https://example.com/margherita.jpg
Пицца Пепперони,Пицца,Острая пицца с колбасой пепперони,580,https://example.com/pepperoni.jpg
Тирамису,Десерты,Итальянский десерт с маскарпоне,320,https://example.com/tiramisu.jpg
Чизкейк,Десерты,Классический чизкейк Нью-Йорк,350,
Капучино,Напитки,Кофе с молочной пенкой,180,https://example.com/cappuccino.jpg
Латте,Напитки,Кофе с молоком,200,https://example.com/latte.jpg
Свежевыжатый апельсиновый сок,Напитки,Натуральный сок из апельсинов,250,https://example.com/orange-juice.jpg
